SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,AREA,POPULATION (2010),POPULATION (2016),BIRTHS (2015),DEATHS (2015),INTERNATIONAL MIGRANTS (2015),DOMESTIC MIGRANTS (2015),NET MIGRATION (2015),LIFE EXPECTANCY (2014),ALCOHOL PER CAPITA (2014),BEER PER CAPITA (2013),WINE PER CAPITA (2013),SPIRITS PER CAPITA (2013),MURDERS PER CAPITA (2015),SUICIDES PER CAPITA (2015),MEDIAN INCOME (2015),COST OF LIVING INDEX,ATTORNEYS,PRESIDENTAIL ELECTION VOTER TURNOUT (2016),HIGH SCHOOL DEGREE,BACHELOR'S DEGREE,ADVANCED DEGREE,AVERAGE TEMPERATURE,GOLF COURSES,STARBUCKS,MIN INCOME TAX RATE,MAX INCOME TAX RATE,NUMBER OF TAX BRACKETS,AVERAGE SAT READING SCORES (2015),AVERAGE SAT MATH SCORES (2015),AVERAGE SAT WRITING SCORES (2015),SAT PARTICIPATION,STARBUCKS PER CAPITA (2016),GOLF COURSES PER CAPITA (2016)
40,3,6,1,0,Alabama,52423,4779736,4863300,58305,50330,5726,-2268,3458,75.4,1.99,1.14,0.25,0.6,7.2,14.7,44765,91.2,14717,59.3,84.3,23.5,8.7,62.8,245,39,2,5,3,545,538,533,6.1,0.81,5.04
40,4,9,2,0,Alaska,656425,710231,741894,11498,4282,2601,-7678,-5077,78.3,2.79,1.06,0.52,1.16,8,22.2,73355,131.6,2402,61.8,92.1,28,10.1,26.6,23,25,0,0,0,509,503,482,51.9,3.37,3.11
40,4,8,4,0,Arizona,114006,6392017,6931071,87385,53233,17344,45934,63278,79.6,2.37,1.13,0.42,0.81,4.5,18.7,51492,98.1,14960,56.2,86,27.5,10.2,60.3,325,248,2.59,4.54,5,523,527,502,34.3,3.58,4.69
40,3,7,5,0,Arkansas,53182,2915918,2988248,37820,29401,3893,-1212,2681,76,1.79,1,0.2,0.6,6.1,17.5,41995,88.5,6851,53.1,84.8,21.1,7.5,60.4,190,15,0.9,6.9,6,568,569,551,4.1,0.51,6.36
40,4,9,6,0,California,163707,37253956,39250017,503849,260624,180722,-77219,103503,80.8,2.3,0.98,0.6,0.75,4.8,11.1,64500,134.8,168746,58.4,81.8,31.4,11.6,59.4,940,2010,1,13.3,10,495,506,491,60.4,5.13,2.4
40,4,8,8,0,Colorado,104100,5029196,5540545,67057,35126,13322,54459,67781,80,2.76,1.2,0.5,1.11,3.2,20.3,63909,102.1,22164,72.1,90.7,38.1,14,45.1,251,322,4.63,4.63,1,582,587,567,12.3,5.82,4.54
40,1,1,9,0,Connecticut,5544,3574097,3576452,36225,29594,18769,-27619,-8850,80.8,2.36,0.85,0.61,0.91,3.3,10.1,71346,130.7,21341,65.4,89.9,37.6,16.6,49,179,76,3,6.99,7,504,506,504,89.3,2.13,5.01
40,3,5,10,0,Delaware,1954,897934,952065,11033,8445,2953,4225,7178,78.4,3.59,1.25,0.72,1.63,6.7,13.4,61255,102.6,2978,64.6,88.4,30,12.2,55.3,45,16,2.2,6.6,7,462,461,445,100,1.69,4.73
40,3,5,11,0,District of Columbia,69,601723,681170,9593,5218,4551,3731,8282,76.5,3.85,1.17,1.02,1.68,24.1,8.2,75628,149.2,54692,61.1,89.3,54.6,31.3,54.7,6,65,4,8.95,4,441,440,432,100,9.55,0.89
40,3,5,12,0,Florida,65758,18801310,20612439,220628,190735,129525,202510,332035,79.4,2.59,1.28,0.49,0.96,5.1,14.6,49426,99,77008,65.7,86.9,27.3,9.8,70.7,1044,375,0,0,0,486,480,468,74.3,1.82,5.07
40,3,5,13,0,Georgia,59441,9687653,10310371,130592,77052,29141,34013,63154,77.2,1.96,1.03,0.25,0.69,6,13.1,51244,91.4,31672,59.9,85.4,28.8,10.7,63.5,407,168,1,6,6,490,485,475,76.9,1.63,3.95
40,4,9,15,0,Hawaii,10932,1360301,1428557,19298,11684,10128,-7026,3102,81.3,2.58,1.26,0.54,0.78,1.3,14.2,73486,167.4,4236,43,91,30.8,10.5,70,78,59,1.4,8.25,9,487,508,477,61.4,4.14,5.47
40,4,8,16,0,Idaho,83574,1567582,1683140,22751,11826,2217,6880,9097,79.5,2.82,0.96,1.08,0.77,1.9,20.4,48275,89.6,3836,60.9,89.5,25.9,8.2,44.4,110,39,1.6,7.4,7,467,463,442,99.9,2.32,6.54
40,2,3,17,0,Illinois,57918,12830632,12801539,156440,104233,37682,-105217,-67535,79,2.32,1.13,0.42,0.78,5.8,10.8,59588,95.5,62782,63.4,87.9,32.3,12.4,51.8,671,412,3.75,3.75,1,599,616,587,4,3.22,5.25
40,2,3,18,0,Indiana,36420,6483802,6633053,83796,58536,12574,-14881,-2307,77.6,1.97,1,0.28,0.81,5.6,14.5,50532,87.9,15826,57.9,87.8,24.1,8.7,51.7,448,140,3.3,3.75,1,496,499,478,70.9,2.12,6.76
40,2,4,19,0,Iowa,56276,3046355,3134693,39470,27728,6409,-3949,2460,79.7,2.35,1.33,0.22,0.8,2.3,13.2,54736,91.7,7523,69,91.5,26.7,8.5,47.8,410,40,0.36,8.98,9,589,600,566,2.9,1.28,13.08
40,2,4,20,0,Kansas,82282,2853118,2907289,38954,24141,7317,-13030,-5713,78.7,1.92,0.99,0.14,0.76,4.4,16.1,53906,90.4,8218,59.7,90.2,31,11,54.3,253,45,2.7,4.6,2,588,592,568,4.8,1.55,8.71
40,3,6,21,0,Kentucky,40411,4339367,4436974,55691,43086,7400,-7441,-41,76,1.88,0.95,0.2,0.7,4.7,16.4,45215,90.8,13509,59.7,84.2,22.3,9.2,55.6,281,47,2,6,6,588,587,574,4,1.06,6.34
40,3,7,22,0,Louisiana,51843,4533372,4681666,63515,43124,8273,-7358,915,75.7,2.58,1.34,0.32,0.93,10.3,14.7,45727,94.4,19307,60.6,83.4,22.5,7.7,66.4,158,42,2,6,3,563,559,553,4.6,0.9,3.38
40,1,1,23,0,Maine,35387,1328361,1331479,12837,13287,1528,-1718,-190,79.2,2.71,1.36,0.42,0.91,1.7,16,51494,112,3940,72.8,91.6,29,10.3,41,140,16,5.8,10.15,4,468,473,451,95.9,1.21,10.52
40,3,5,24,0,Maryland,12407,5773552,6016447,72754,47898,31330,-24738,6592,78.8,2.15,0.89,0.39,0.9,8.6,10.1,75847,125,38800,67.2,89.4,37.9,17.3,54.2,186,156,2,5.75,8,491,493,478,78.7,2.6,3.1
